fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
95-27185,Operational Measures To Reduce Oil Spills From Existing Tank Vessels Without Double Hulls,1995-11-03,https://www.govinfo.gov/content/pkg/FR-1995-11-03/pdf/95-27185.pdf,https://www.federalregister.gov/documents/1995/11/03/95-27185/operational-measures-to-reduce-oil-spills-from-existing-tank-vessels-without-double-hulls,,www.govinfo.gov,Proposed Rule,policy letter
95-27870,Offshore Supply Vessels,1995-11-16,https://www.govinfo.gov/content/pkg/FR-1995-11-16/pdf/95-27870.pdf,https://www.federalregister.gov/documents/1995/11/16/95-27870/offshore-supply-vessels,,www.govinfo.gov,Rule,policy letter
95-30677,"National Driver Register and Criminal Record Review in Issuing Licenses, Certificates of Registry, or Merchant Mariner's Documents",1995-12-19,https://www.govinfo.gov/content/pkg/FR-1995-12-19/pdf/95-30677.pdf,https://www.federalregister.gov/documents/1995/12/19/95-30677/national-driver-register-and-criminal-record-review-in-issuing-licenses-certificates-of-registry-or,,www.govinfo.gov,Rule,Merchant Mariner Credential
96-213,Small Passenger Vessel Inspection and Certification,1996-01-10,https://www.govinfo.gov/content/pkg/FR-1996-01-10/pdf/96-213.pdf,https://www.federalregister.gov/documents/1996/01/10/96-213/small-passenger-vessel-inspection-and-certification,,www.govinfo.gov,Rule,policy letter
96-118,Vessel Response Plans,1996-01-12,https://www.govinfo.gov/content/pkg/FR-1996-01-12/pdf/96-118.pdf,https://www.federalregister.gov/documents/1996/01/12/96-118/vessel-response-plans,,www.govinfo.gov,Rule,policy letter
96-4274,Response Plans for Marine Transportation-Related Facilities,1996-02-29,https://www.govinfo.gov/content/pkg/FR-1996-02-29/pdf/96-4274.pdf,https://www.federalregister.gov/documents/1996/02/29/96-4274/response-plans-for-marine-transportation-related-facilities,,www.govinfo.gov,Rule,policy letter
96-7019,"Implementation of the 1995 Amendments to the International Convention on Standards of Training, Certification and Watchkeeping for Seafarers, 1978 (STCW)",1996-03-26,https://www.govinfo.gov/content/pkg/FR-1996-03-26/pdf/96-7019.pdf,https://www.federalregister.gov/documents/1996/03/26/96-7019/implementation-of-the-1995-amendments-to-the-international-convention-on-standards-of-training,,www.govinfo.gov,Proposed Rule,Merchant Mariner Credential
96-7455,Electronic Records of Shipping Articles and Certificates of Discharge,1996-03-28,https://www.govinfo.gov/content/pkg/FR-1996-03-28/pdf/96-7455.pdf,https://www.federalregister.gov/documents/1996/03/28/96-7455/electronic-records-of-shipping-articles-and-certificates-of-discharge,,www.govinfo.gov,Proposed Rule,NMC Policy Letter
96-9281,Application for Recertification of Cook Inlet Regional Citizens' Advisory Council,1996-04-15,https://www.govinfo.gov/content/pkg/FR-1996-04-15/pdf/96-9281.pdf,https://www.federalregister.gov/documents/1996/04/15/96-9281/application-for-recertification-of-cook-inlet-regional-citizens-advisory-council,,www.govinfo.gov,Notice,policy letter
96-10558,Application for Recertification of Prince William Sound Regional Citizens' Advisory Council,1996-04-30,https://www.govinfo.gov/content/pkg/FR-1996-04-30/pdf/96-10558.pdf,https://www.federalregister.gov/documents/1996/04/30/96-10558/application-for-recertification-of-prince-william-sound-regional-citizens-advisory-council,,www.govinfo.gov,Notice,policy letter
96-13416,Electrical Engineering Requirements for Merchant Vessels,1996-06-04,https://www.govinfo.gov/content/pkg/FR-1996-06-04/pdf/96-13416.pdf,https://www.federalregister.gov/documents/1996/06/04/96-13416/electrical-engineering-requirements-for-merchant-vessels,,www.govinfo.gov,Rule,policy letter
96-15346,Licensing and Manning for Officers of Towing Vessels,1996-06-19,https://www.govinfo.gov/content/pkg/FR-1996-06-19/pdf/96-15346.pdf,https://www.federalregister.gov/documents/1996/06/19/96-15346/licensing-and-manning-for-officers-of-towing-vessels,,www.govinfo.gov,Proposed Rule,Merchant Mariner Credential
96-18115,Security for Passenger Vessels and Passenger Terminals,1996-07-18,https://www.govinfo.gov/content/pkg/FR-1996-07-18/pdf/96-18115.pdf,https://www.federalregister.gov/documents/1996/07/18/96-18115/security-for-passenger-vessels-and-passenger-terminals,,www.govinfo.gov,Rule,NMC Policy Letter
