fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
06-499,"Safety Zone; Cooper River, Hog Island Channel, Grace Memorial and Silas Pearman Bridges, Charleston, SC",2006-01-19,https://www.govinfo.gov/content/pkg/FR-2006-01-19/pdf/06-499.pdf,https://www.federalregister.gov/documents/2006/01/19/06-499/safety-zone-cooper-river-hog-island-channel-grace-memorial-and-silas-pearman-bridges-charleston-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E6-8073,"Safety Zone; Cooper River, Hog Island Channel, Charleston, SC",2006-05-25,https://www.govinfo.gov/content/pkg/FR-2006-05-25/pdf/E6-8073.pdf,https://www.federalregister.gov/documents/2006/05/25/E6-8073/safety-zone-cooper-river-hog-island-channel-charleston-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E6-10366,"Safety Zone; 4th July Fireworks, Cooper River, Patriots Point, Mount Pleasant, SC",2006-07-03,https://www.govinfo.gov/content/pkg/FR-2006-07-03/pdf/E6-10366.pdf,https://www.federalregister.gov/documents/2006/07/03/E6-10366/safety-zone-4th-july-fireworks-cooper-river-patriots-point-mount-pleasant-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E6-12400,"Safety Zone; Vermont Air National Guard 60th Anniversary Air Show, Burlington Bay, Burlington, VT",2006-08-02,https://www.govinfo.gov/content/pkg/FR-2006-08-02/pdf/E6-12400.pdf,https://www.federalregister.gov/documents/2006/08/02/E6-12400/safety-zone-vermont-air-national-guard-60th-anniversary-air-show-burlington-bay-burlington-vt,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E7-3056,"Safety Zone; Upper Chesapeake Bay and Its Tributaries and the C & D Canal, Maryland, Virginia, and Washington, DC",2007-02-23,https://www.govinfo.gov/content/pkg/FR-2007-02-23/pdf/E7-3056.pdf,https://www.federalregister.gov/documents/2007/02/23/E7-3056/safety-zone-upper-chesapeake-bay-and-its-tributaries-and-the-c-and-d-canal-maryland-virginia-and,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E7-9166,"Safety Zone; San Juan Harbor Swim, Bahia de San Juan, San Juan, PR",2007-05-14,https://www.govinfo.gov/content/pkg/FR-2007-05-14/pdf/E7-9166.pdf,https://www.federalregister.gov/documents/2007/05/14/E7-9166/safety-zone-san-juan-harbor-swim-bahia-de-san-juan-san-juan-pr,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
E9-4067,Safety Zone; Baltimore Captain of the Port Zone,2009-02-26,https://www.govinfo.gov/content/pkg/FR-2009-02-26/pdf/E9-4067.pdf,https://www.federalregister.gov/documents/2009/02/26/E9-4067/safety-zone-baltimore-captain-of-the-port-zone,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E9-10969,"Security Zones; Escorted Vessels, Mobile, AL, Captain of the Port Zone",2009-05-12,https://www.govinfo.gov/content/pkg/FR-2009-05-12/pdf/E9-10969.pdf,https://www.federalregister.gov/documents/2009/05/12/E9-10969/security-zones-escorted-vessels-mobile-al-captain-of-the-port-zone,,www.govinfo.gov,Rule,MSIB
E9-11303,"Regulated Navigation Area; Gulf Intracoastal Waterway, Inner Harbor Navigation Canal, New Orleans, LA",2009-05-14,https://www.govinfo.gov/content/pkg/FR-2009-05-14/pdf/E9-11303.pdf,https://www.federalregister.gov/documents/2009/05/14/E9-11303/regulated-navigation-area-gulf-intracoastal-waterway-inner-harbor-navigation-canal-new-orleans-la,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
E9-13775,"Safety Zone; Sabine River, Orange, TX",2009-06-12,https://www.govinfo.gov/content/pkg/FR-2009-06-12/pdf/E9-13775.pdf,https://www.federalregister.gov/documents/2009/06/12/E9-13775/safety-zone-sabine-river-orange-tx,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
E9-20512,"Safety Zone; Sabine River, Orange, TX",2009-08-26,https://www.govinfo.gov/content/pkg/FR-2009-08-26/pdf/E9-20512.pdf,https://www.federalregister.gov/documents/2009/08/26/E9-20512/safety-zone-sabine-river-orange-tx,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
E9-20861,"Safety Zone; Upper Mississippi River, Mile 427.2 to 427.6, Keithsburg, IL",2009-08-31,https://www.govinfo.gov/content/pkg/FR-2009-08-31/pdf/E9-20861.pdf,https://www.federalregister.gov/documents/2009/08/31/E9-20861/safety-zone-upper-mississippi-river-mile-4272-to-4276-keithsburg-il,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-1265,Safety Zone; Baltimore Captain of Port Zone,2010-01-25,https://www.govinfo.gov/content/pkg/FR-2010-01-25/pdf/2010-1265.pdf,https://www.federalregister.gov/documents/2010/01/25/2010-1265/safety-zone-baltimore-captain-of-port-zone,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-2215,"Safety Zone; AICW Closure Safety Zone for Ben Sawyer Bridge Replacement Project, Sullivan's Island, SC",2010-02-03,https://www.govinfo.gov/content/pkg/FR-2010-02-03/pdf/2010-2215.pdf,https://www.federalregister.gov/documents/2010/02/03/2010-2215/safety-zone-aicw-closure-safety-zone-for-ben-sawyer-bridge-replacement-project-sullivans-island-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-13641,"Regulated Navigation Area; Gulf Intracoastal Waterway, Inner Harbor Navigation Canal, Harvey Canal, Algiers Canal, New Orleans, LA",2010-06-08,https://www.govinfo.gov/content/pkg/FR-2010-06-08/pdf/2010-13641.pdf,https://www.federalregister.gov/documents/2010/06/08/2010-13641/regulated-navigation-area-gulf-intracoastal-waterway-inner-harbor-navigation-canal-harvey-canal,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-16263,"Regulated Navigation Area: Niantic Railroad Bridge Construction, Niantic, CT",2010-07-07,https://www.govinfo.gov/content/pkg/FR-2010-07-07/pdf/2010-16263.pdf,https://www.federalregister.gov/documents/2010/07/07/2010-16263/regulated-navigation-area-niantic-railroad-bridge-construction-niantic-ct,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-16586,"Safety Zone; Illinois River, Mile 119.7 to 120.3",2010-07-08,https://www.govinfo.gov/content/pkg/FR-2010-07-08/pdf/2010-16586.pdf,https://www.federalregister.gov/documents/2010/07/08/2010-16586/safety-zone-illinois-river-mile-1197-to-1203,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
2010-17115,"Special Local Regulations; Sabine River, Orange, TX",2010-07-15,https://www.govinfo.gov/content/pkg/FR-2010-07-15/pdf/2010-17115.pdf,https://www.federalregister.gov/documents/2010/07/15/2010-17115/special-local-regulations-sabine-river-orange-tx,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
