fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
04-19159,Merchant Marine Personnel Advisory Committee,2004-08-20,https://www.govinfo.gov/content/pkg/FR-2004-08-20/pdf/04-19159.pdf,https://www.federalregister.gov/documents/2004/08/20/04-19159/merchant-marine-personnel-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
04-21523,"Anchorage Grounds, Hampton Roads, VA",2004-09-27,https://www.govinfo.gov/content/pkg/FR-2004-09-27/pdf/04-21523.pdf,https://www.federalregister.gov/documents/2004/09/27/04-21523/anchorage-grounds-hampton-roads-va,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
05-2945,Nontank Vessel Response Plan Guidance,2005-02-16,https://www.govinfo.gov/content/pkg/FR-2005-02-16/pdf/05-2945.pdf,https://www.federalregister.gov/documents/2005/02/16/05-2945/nontank-vessel-response-plan-guidance,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
05-3918,"Anacortes General Anchorage and Cap Sante and Hat Island Tug and Barge General Anchorages, Anacortes, WA",2005-03-01,https://www.govinfo.gov/content/pkg/FR-2005-03-01/pdf/05-3918.pdf,https://www.federalregister.gov/documents/2005/03/01/05-3918/anacortes-general-anchorage-and-cap-sante-and-hat-island-tug-and-barge-general-anchorages-anacortes,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
05-6305,"Anchorage Grounds, Hampton Roads, VA",2005-03-30,https://www.govinfo.gov/content/pkg/FR-2005-03-30/pdf/05-6305.pdf,https://www.federalregister.gov/documents/2005/03/30/05-6305/anchorage-grounds-hampton-roads-va,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
05-8940,Safety Zones; Long Island Sound Annual Fireworks Displays,2005-05-05,https://www.govinfo.gov/content/pkg/FR-2005-05-05/pdf/05-8940.pdf,https://www.federalregister.gov/documents/2005/05/05/05-8940/safety-zones-long-island-sound-annual-fireworks-displays,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
05-10364,"Anchorage Grounds; Hampton Roads, VA",2005-05-25,https://www.govinfo.gov/content/pkg/FR-2005-05-25/pdf/05-10364.pdf,https://www.federalregister.gov/documents/2005/05/25/05-10364/anchorage-grounds-hampton-roads-va,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
05-10898,"Anchorage Grounds; Anacortes General Anchorage and Cap Sante and Hat Island Tug and Barge General Anchorages, Anacortes, WA",2005-06-02,https://www.govinfo.gov/content/pkg/FR-2005-06-02/pdf/05-10898.pdf,https://www.federalregister.gov/documents/2005/06/02/05-10898/anchorage-grounds-anacortes-general-anchorage-and-cap-sante-and-hat-island-tug-and-barge-general,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
05-11318,Deepwater Ports; Voluntary Guidelines,2005-06-08,https://www.govinfo.gov/content/pkg/FR-2005-06-08/pdf/05-11318.pdf,https://www.federalregister.gov/documents/2005/06/08/05-11318/deepwater-ports-voluntary-guidelines,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
05-12541,Nontank Vessel Oil Response Plans,2005-06-24,https://www.govinfo.gov/content/pkg/FR-2005-06-24/pdf/05-12541.pdf,https://www.federalregister.gov/documents/2005/06/24/05-12541/nontank-vessel-oil-response-plans,,www.govinfo.gov,Notice,NVIC
05-15076,Safety Zones; Long Island Sound Annual Fireworks Displays,2005-07-29,https://www.govinfo.gov/content/pkg/FR-2005-07-29/pdf/05-15076.pdf,https://www.federalregister.gov/documents/2005/07/29/05-15076/safety-zones-long-island-sound-annual-fireworks-displays,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
05-17192,Towing Safety Advisory Committee,2005-08-29,https://www.govinfo.gov/content/pkg/FR-2005-08-29/pdf/05-17192.pdf,https://www.federalregister.gov/documents/2005/08/29/05-17192/towing-safety-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
05-17426,Ballast Water Management for Vessels Entering the Great Lakes That Declare No Ballast Onboard,2005-08-31,https://www.govinfo.gov/content/pkg/FR-2005-08-31/pdf/05-17426.pdf,https://www.federalregister.gov/documents/2005/08/31/05-17426/ballast-water-management-for-vessels-entering-the-great-lakes-that-declare-no-ballast-onboard,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
05-18147,Towing Safety Advisory Committee,2005-09-13,https://www.govinfo.gov/content/pkg/FR-2005-09-13/pdf/05-18147.pdf,https://www.federalregister.gov/documents/2005/09/13/05-18147/towing-safety-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
05-21575,Merchant Marine Personnel Advisory Committee,2005-10-31,https://www.govinfo.gov/content/pkg/FR-2005-10-31/pdf/05-21575.pdf,https://www.federalregister.gov/documents/2005/10/31/05-21575/merchant-marine-personnel-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
05-21573,Pollution Prevention Equipment,2005-11-03,https://www.govinfo.gov/content/pkg/FR-2005-11-03/pdf/05-21573.pdf,https://www.federalregister.gov/documents/2005/11/03/05-21573/pollution-prevention-equipment,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E6-960,Chemical Transportation Advisory Committee,2006-01-26,https://www.govinfo.gov/content/pkg/FR-2006-01-26/pdf/E6-960.pdf,https://www.federalregister.gov/documents/2006/01/26/E6-960/chemical-transportation-advisory-committee,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
06-920,Exclusion Zones for Marine LNG Spills,2006-02-01,https://www.govinfo.gov/content/pkg/FR-2006-02-01/pdf/06-920.pdf,https://www.federalregister.gov/documents/2006/02/01/06-920/exclusion-zones-for-marine-lng-spills,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E6-2055,"Waterway Suitability Assessment for Expansion of Dominion Cove Point Liquefied Natural Gas Facility, Calvert County, Maryland",2006-02-14,https://www.govinfo.gov/content/pkg/FR-2006-02-14/pdf/E6-2055.pdf,https://www.federalregister.gov/documents/2006/02/14/E6-2055/waterway-suitability-assessment-for-expansion-of-dominion-cove-point-liquefied-natural-gas-facility,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E6-2546,Nontank Vessel Response Plan Guidance,2006-02-23,https://www.govinfo.gov/content/pkg/FR-2006-02-23/pdf/E6-2546.pdf,https://www.federalregister.gov/documents/2006/02/23/E6-2546/nontank-vessel-response-plan-guidance,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
E6-7205,"Safety Zone; Live-Fire Gun Exercise, Southeast of Ocean City, MD, Atlantic Ocean",2006-05-11,https://www.govinfo.gov/content/pkg/FR-2006-05-11/pdf/E6-7205.pdf,https://www.federalregister.gov/documents/2006/05/11/E6-7205/safety-zone-live-fire-gun-exercise-southeast-of-ocean-city-md-atlantic-ocean,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
06-4508,Transportation Worker Identification Credential (TWIC) Implementation in the Maritime Sector; Hazardous Materials Endorsement for a Commercial Driver's License,2006-05-22,https://www.govinfo.gov/content/pkg/FR-2006-05-22/pdf/06-4508.pdf,https://www.federalregister.gov/documents/2006/05/22/06-4508/transportation-worker-identification-credential-twic-implementation-in-the-maritime-sector-hazardous,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
06-4509,Consolidation of Merchant Mariner Qualification Credentials,2006-05-22,https://www.govinfo.gov/content/pkg/FR-2006-05-22/pdf/06-4509.pdf,https://www.federalregister.gov/documents/2006/05/22/06-4509/consolidation-of-merchant-mariner-qualification-credentials,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
E6-10980,"Safety Zone; BART Transbay Tube Seismic Upgrade; San Francisco, CA",2006-07-13,https://www.govinfo.gov/content/pkg/FR-2006-07-13/pdf/E6-10980.pdf,https://www.federalregister.gov/documents/2006/07/13/E6-10980/safety-zone-bart-transbay-tube-seismic-upgrade-san-francisco-ca,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
E6-14498,"Safety Zone; Blue Water Resort and Casino 60th Thanksgiving Regatta, Colorado River, Parker, AZ",2006-08-31,https://www.govinfo.gov/content/pkg/FR-2006-08-31/pdf/E6-14498.pdf,https://www.federalregister.gov/documents/2006/08/31/E6-14498/safety-zone-blue-water-resort-and-casino-60th-thanksgiving-regatta-colorado-river-parker-az,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
06-8132,"Safety Zone; BART Transbay Tube Seismic Upgrade, San Francisco, CA",2006-09-25,https://www.govinfo.gov/content/pkg/FR-2006-09-25/pdf/06-8132.pdf,https://www.federalregister.gov/documents/2006/09/25/06-8132/safety-zone-bart-transbay-tube-seismic-upgrade-san-francisco-ca,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
06-8305,Medical and Physical Evaluation Guidelines for Merchant Mariner Credentials,2006-09-28,https://www.govinfo.gov/content/pkg/FR-2006-09-28/pdf/06-8305.pdf,https://www.federalregister.gov/documents/2006/09/28/06-8305/medical-and-physical-evaluation-guidelines-for-merchant-mariner-credentials,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
